cl_num,x,y
-1,0.9165839257,0.799740331
-1,0.5439247532,0.0757466945
-1,0.2785405445,-0.3553578593
-1,1.0974194556,0.7262425079
-1,0.9131981793,0.8437106957
-1,0.8626132151,0.7085892543
-1,1.1933834095,0.8583965746
-1,1.064079709,0.6965961948
-1,1.0829228865,0.6967740974
-1,1.1622726721,0.7926240609
-1,0.977146757,0.7561299452
-1,1.2217342788,0.8999049996
-1,1.0877810738,0.6783009843
-1,0.6351005294,0.2921027146
-1,0.3747736912,-0.0543391193
-1,0.3578794278,-0.0868657383
-1,0.5485313649,-0.0813572598
-1,0.2266677101,-0.4596713249
-1,0.3373598761,-0.4043226206
-1,0.3309711817,-0.3967300424
-1,0.2738342851,-0.362139789
-1,0.274475058,-0.4579507022
-1,0.4855518589,-0.3120784245
-1,0.4774846969,-0.3035862594
-1,0.4419613762,-0.3757298155
-1,0.646103424,0.3586460424
-1,0.8413490289,0.670401547
-1,0.3896605925,-0.3072117401
-1,0.6505346532,0.3062918065
-1,0.5712540028,0.2021770629
-1,0.2299790494,-0.1237009921
-1,0.6659439497,0.0827371288
-1,0.8517283009,0.3067190031
-1,0.8775479209,0.3368649291
-1,0.1221208744,-0.5478704721
-1,0.1243044075,-0.5482574305
-1,0.2092795958,-0.1518802891
-1,0.5621169943,-0.1328952296
-1,-0.0752929289,-0.2122225781
-1,0.0832855711,-0.2025751216
-1,0.5958139938,0.3075847463
-1,0.7102217662,0.3117416028
-1,0.3375879338,-0.1786755332
-1,0.3626748284,-0.1717309348
-1,0.8145170193,0.6757616082
-1,0.7249504482,0.5650376506
-1,0.3734683141,-0.1804332246
-1,0.5603226257,0.2063432242
-1,1.0810940432,0.8318743631
-1,1.027766495,0.72207631
-1,1.0274526478,0.7220326791
-1,0.9913870276,0.6585919778
-1,1.0020896692,0.6618394296
-1,0.9987208699,0.6587444736
-1,1.0031276452,0.6619784343
-1,0.9911330957,0.658561725
-1,1.0022029011,0.6619035953
-1,0.992696737,0.6587972834
-1,0.9926056924,0.6587456907
-1,1.0023206487,0.6618566758
-1,0.5886556495,-0.0913013603
-1,0.6530852218,0.0483490372
-1,1.0547437783,0.7981301593
-1,1.0373618263,0.7652568294
-1,1.0622476666,0.749215464
-1,1.0621211893,0.7491643669
-1,1.0622239491,0.7492020239
-1,1.0983932721,0.8126549561
-1,1.097595313,0.8125177445
-1,1.0998450682,0.8128065602
-1,1.0992335496,0.8127955742
-1,0.6965965843,0.0628420933
-1,1.1077030188,0.8592465636
-1,1.1060151469,0.8558301244
-1,0.3926294046,-0.4490753925
-1,0.7930915172,0.2973664426
-1,0.7930236163,0.2973279649
-1,0.8365328746,0.4039770507
-1,0.8978914006,0.4914499858
-1,0.9086753664,0.4946969871
-1,0.9076895249,0.4946546351
-1,0.8531177295,0.3846677977
-1,0.8915982314,0.5012087932
-1,0.8717759577,0.4673077614
-1,0.7669543047,0.5694873018
-1,0.3704390537,-0.1856417775
-1,0.2452061529,-0.4559478682
-1,0.5784283966,-0.062445268
-1,0.4172248662,-0.0785983425
-1,0.5834355423,-0.0665183861
-1,0.5380894814,-0.17301355
-1,0.4937886702,-0.1866702226
-1,0.948749913,0.5776556948
-1,0.3596038998,-0.1793081345
-1,0.3680421835,-0.1778055743
-1,0.3529920734,-0.1889844502
-1,0.092356232,-0.5593394225
-1,0.7034616723,0.2026247486
-1,0.599665328,0.3127337501
-1,0.5253032035,0.2021103848
-1,0.1482842854,-0.5445483721
-1,0.152616061,-0.553797413
-1,0.9197335705,0.4164163729
-1,1.066695251,0.6714506462
-1,1.0776363317,0.6747195713
-1,1.1102071871,0.7781012494
-1,0.6745047481,-0.0752251859
-1,0.8689834295,0.3102614754
-1,0.8691602452,0.3102945632
-1,0.8798064144,0.3135305879
-1,0.8685771645,0.3102120086
-1,0.8695908492,0.310337248
-1,0.8576270941,0.3069379892
-1,0.8692022195,0.310967957
-1,0.3245098318,-0.4659882586
-1,0.9136630618,0.4177545367
-1,0.4989174287,-0.3362431562
